鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,31.59,住,,,1070601,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,263.57,4,2,2,有,有,50500000,219765,坡道平面,41.97,1800000,車位價款180萬土地款1116000房屋款684000,RPSOMLLLOHNFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,32.05,住,,,1070606,土地1建物1車位2,十五層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,306.41,4,2,2,有,有,51980000,217468,坡道平面,83.94,3600000,車位價款各180萬(土地款各1116000房屋款各684000),RPTOMLLLOHNFFAA87CA
中正區,房地(土地+建物),臺北市中正區泉州街1~30號,30.82,住,,,1070506,土地3建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730519,158.86,3,2,2,有,無,23500000,147929,,0.0,0,,RPQNMLMLOHNFFAA57CA
文山區,房地(土地+建物),臺北市文山區萬慶街1~30號,13.42,住,,,1070521,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,37.41,3,2,1,有,無,2850000,76183,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLQLOHNFFAA87CA
文山區,房地(土地+建物),臺北市文山區永安街48巷1~30號,88.4,住,,,1070516,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,59.02,4,2,3,有,無,21380000,362250,,0.0,0,,RPROMLSLOHNFFAA38CA
文山區,房地(土地+建物),臺北市文山區秀明路一段19巷5弄1~30號,29.95,住,,,1070521,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700615,79.31,3,1,1,有,無,7000000,88261,,0.0,0,,RPQNMLTLOHNFFAA28CA
文山區,房地(土地+建物),臺北市文山區福興路61~90號,23.48,住,,,1070521,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811116,80.21000000000001,3,2,2,有,無,10500000,130906,,0.0,0,,RPRNMLTLOHNFFAA38CA
中正區,房地(土地+建物),臺北市中正區金門街34巷1~30號,62.52,住,,,1070427,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,102.03,4,2,2,有,無,16000000,156817,,0.0,0,本件係2親等間買賣移轉.衛浴1大1小,RPPOMLTLOHNFFAA28CA
文山區,房地(土地+建物),臺北市文山區辛亥路五段61~90號,8.15,住,,,1070422,土地1建物1車位0,七層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1040318,41.91,1,1,1,有,有,7800000,186113,,0.0,0,,RPQOMLTLOHNFFAA38CA
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段61~90號,36.63,住,,,1070523,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000718,294.23,4,2,2,有,有,37380000,127043,坡道平面,74.84,0,,RPWNMLNJPHNFFAA18CA
萬華區,房地(土地+建物),臺北市萬華區大理街130巷2弄1~30號,20.75,其他,,,1070604,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0621226,72.2,3,1,1,有,無,6500000,90028,,0.0,0,,RPOOMLMLOHNFFBA57CA
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路151~180號,8.58,商,,,1070524,土地2建物2車位1,六層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960622,106.15,0,0,0,無,有,19400000,182760,其他,17.53,0,共兩戶,RPROMLMLOHNFFBA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街31~60號,13.24,商,,,1070521,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,182.25,3,2,1,有,有,37750000,225405,坡道機械,19.21,1000000,,RPPOMLSLOHNFFBA28CA
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街31~60號,14.24,商,,,1070521,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,211.99,3,2,1,有,有,42250000,229374,坡道平面,40.0,2800000,,RPSOMLSLOHNFFBA58CA
中正區,房地(土地+建物),臺北市中正區信陽街1~30號,75.02,商,,,1070514,土地2建物2車位0,六層,七層,辦公商業大樓,,鋼筋混凝土造,0680112,396.56,0,0,0,無,無,60000000,151301,,0.0,0,,RPXNMLTLOHNFFBA09CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路162巷1~30號,47.09,住,,,1070319,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.69,3,2,2,有,有,23880000,153382,坡道平面,0.0,0,含增建或未登記建物。本案車位面積無法概算。,RPQQMLLLOHNFFCA97CA
中山區,房地(土地+建物),臺北市中山區林森北路241~270號,3.03,商,,,1070506,土地2建物2車位0,四層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0710707,35.980000000000004,1,1,1,有,有,5350000,148694,,0.0,0,,RPOOMLMLOHNFFCA67CA
中山區,房地(土地+建物),臺北市中山區林森北路310巷1~30號,5.75,商,,,1070607,土地1建物2車位0,一層,十六層,店面(店鋪),商業用,鋼筋混凝土造,0880928,60.89,0,0,0,無,有,19000000,312038,,0.0,0,,RPXOMLMLOHNFFCA58CA
中山區,房地(土地+建物),臺北市中山區建國北路二段91~120號,24.33,住,,,1070605,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760204,168.74,4,2,2,有,有,28000000,165936,,0.0,0,,RPUNMLRLOHNFFCA68CA
中山區,房地(土地+建物),臺北市中山區吉林路361~390號,5.9,住,,,1070525,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681219,34.06,1,0,1,有,有,4400000,129184,,0.0,0,,RPTQMLRLOHNFFCA88CA
中山區,房地(土地+建物),臺北市中山區農安街1~30號,7.38,商,,,1070605,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0690821,64.78,2,1,1,有,有,9500000,146650,,0.0,0,,RPQPMLMJPHNFFCA87CA
內湖區,車位,臺北市內湖區大湖街131巷1~30號,0.97,商,,,1070611,土地0建物0車位2,一層,十一層,其他,商業用,鋼筋混凝土造,0960702,5.0200000000000005,0,0,0,有,有,1000000,,升降機械,0.0,1000000,,RPPPMLQJPHNFFCA18CA
中山區,房地(土地+建物),臺北市中山區農安街2巷5弄1~30號,15.77,商,,,1070524,土地1建物1車位0,全,二層,透天厝,,加強磚造,,17.64,0,0,0,無,無,5200000,294785,,0.0,0,,RPUPMLQJPHNFFCA68CA
中山區,房地(土地+建物),臺北市中山區中山北路三段1~30號,11.05,商,,,1070601,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.66,3,1,1,有,有,14500000,158193,,0.0,0,,RPRPMLTJPHNFFCA68CA
中山區,房地(土地+建物),臺北市中山區德惠街31~60號,2.33,商,,,1070605,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0681219,25.82,1,1,1,有,有,3520000,136328,,0.0,0,,RPQOMLKLPHNFFCA77CA
南港區,房地(土地+建物)+車位,臺北市南港區園區街31~60號,27.52,住,,,1070513,土地1建物1車位2,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,229.95999999999998,4,2,2,有,有,37200000,161767,坡道平面,67.74,0,,RPPPMLLLOHNFFDA87CA
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,11.81,商,,,1070408,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0720915,127.26,2,2,1,有,有,25000000,196448,,0.0,0,,RPVNMLMLOHNFFDA38CA
信義區,房地(土地+建物),臺北市信義區吳興街1~30號,31.3,住,,,1070519,土地1建物1車位0,一層,五層,店面(店鋪),商業用,鋼筋混凝土造,0660404,110.32,0,1,1,有,無,48000000,435098,,0.0,0,,RPUOMLMLOHNFFDA38CA
南港區,房地(土地+建物),臺北市南港區福德街373巷1~30號,22.2,住,,,1070423,土地1建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870521,132.76,3,2,1,有,有,14850000,111856,,0.0,0,,RPWOMLMLOHNFFDA58CA
松山區,房地(土地+建物),臺北市松山區南京東路五段391~420號,9.87,商,,,1070512,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060921,96.03999999999999,2,2,1,有,有,22800000,237401,,0.0,0,,RPWPMLMLOHNFFDA68CA
松山區,房地(土地+建物),臺北市松山區復興北路301~330號,35.97,商,,,1070430,土地2建物2車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711130,242.24,0,0,0,無,無,52000000,214663,,0.0,0,,RPPOMLPLOHNFFDA18CA
信義區,房地(土地+建物),臺北市信義區基隆路一段35巷9弄1~30號,22.5,住,,,1070605,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640410,63.42,2,1,1,有,無,9500000,149795,,0.0,0,,RPQOMLPLOHNFFDA28CA
松山區,房地(土地+建物),臺北市松山區延壽街331~360號,57.96,住,,,1070515,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980320,211.53,4,2,2,有,無,42000000,198553,,0.0,0,,RPVOMLRLOHNFFDA98CA
松山區,房地(土地+建物),臺北市松山區新東街3巷1~30號,37.5,住,,,1070406,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620720,101.02,2,1,1,有,無,18800000,186102,,0.0,0,,RPOOMLMJPHNFFDA67CA
南港區,房地(土地+建物),臺北市南港區成福路121巷17弄1~30號,53.1,住,,,1070515,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,,76.0,5,2,2,有,無,17000000,223684,,0.0,0,,RPPOMLMJPHNFFDA77CA
松山區,房地(土地+建物),臺北市松山區寶清街1~30號,7.13,商,,,1070527,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0781120,72.17,2,1,1,有,有,10900000,151032,,0.0,0,,RPTOMLMJPHNFFDA18CA
南港區,房地(土地+建物)+車位,臺北市南港區興中路68巷1~30號,15.77,商,,,1070605,土地1建物1車位2,十二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060707,254.74,4,2,2,有,無,46000000,241490,坡道平面,77.3,3150000,,RPRPMLKLPHNFFDA08CA
士林區,房地(土地+建物),臺北市士林區社中街210巷1~30號,27.54,住,,,1070409,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060605,109.67,2,2,1,有,有,14600000,133127,,0.0,0,,RPWOMLLLOHNFFEA58CA
士林區,房地(土地+建物)+車位,臺北市士林區社中街156巷31~60號,24.18,住,,,1070528,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020315,101.62,2,1,1,有,無,12600000,123991,塔式車位,11.45,0,含增建或未登記建物。,RPQPMLLLOHNFFEA08CA
士林區,房地(土地+建物),臺北市士林區中山北路七段141巷1~30號,17.62,住,,,1070524,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691224,98.99000000000001,2,2,2,有,有,17000000,171735,,0.0,0,,RPROMLMLOHNFFEA18CA
士林區,房地(土地+建物),臺北市士林區延平北路五段285巷91~120號,13.71,住,,,1070521,土地1建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050608,63.3,1,1,1,有,有,9680000,152923,,0.0,0,,RPROMLQLOHNFFEA58CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,18.88,住,,,1041004,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,135.13,2,2,1,有,無,17790000,182043,坡道平面,50.04,2300000,本案為預售。,RPUNMLSKPHNFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,18.88,住,,,1070317,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,135.13,2,2,1,有,無,17900000,132465,坡道平面,50.04,0,本案為預售。,RPVNMLSKPHNFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,18.88,住,,,1041220,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,135.13,2,2,1,有,無,17720000,183570,坡道平面,50.04,2100000,本案為預售。,RPWNMLSKPHNFFEA56CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,18.88,住,,,1041112,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,135.13,2,2,1,有,無,18530000,190739,坡道平面,50.04,2300000,本案為預售。,RPXNMLSKPHNFFEA66CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.47,住,,,1041206,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.07999999999998,3,2,2,有,無,25530000,185666,坡道平面,50.04,2500000,本案為預售。,RPOOMLSKPHNFFEA48CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.45,住,,,1041102,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.09,3,2,2,有,無,25800000,187827,坡道平面,50.04,2500000,本案為預售。,RPPOMLSKPHNFFEA58CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.45,住,,,1040923,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.09,3,2,2,有,無,26000000,189440,坡道平面,50.04,2500000,本案為預售。,RPQOMLSKPHNFFEA68CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.45,住,,,1040920,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.09,3,2,2,有,無,25580000,187666,坡道平面,50.04,2300000,本案為預售。,RPROMLSKPHNFFEA78CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.45,住,,,1040913,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.09,3,2,2,有,無,25660000,186699,坡道平面,50.04,2500000,1.本案為預售。2.權利人共二人。,RPSOMLSKPHNFFEA88CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.73,住,,,1060414,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,175.36,3,2,2,有,無,25800000,184328,坡道平面,50.04,2700000,本案為預售。,RPUOMLSKPHNFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.73,住,,,1070310,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,175.36,3,2,2,有,無,25300000,185126,坡道平面,50.04,2100000,本案為預售。,RPVOMLSKPHNFFEA56CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.45,住,,,1040926,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.09,3,2,2,有,無,26660000,194760,坡道平面,50.04,2500000,本案為預售。,RPQTMLSKPHNFFEA56CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.45,住,,,1041004,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070423,174.09,3,2,2,有,無,25460000,185087,坡道平面,50.04,2500000,本案為預售。,RPTRMLSKPHNFFEA66CA
大安區,房地(土地+建物),臺北市大安區基隆路三段1~30號,19.53,其他,,,1070428,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720110,112.91,3,2,2,有,有,19680000,174298,,0.0,0,,RPTOMLMLOHNFFFA48CA
大安區,房地(土地+建物)+車位,臺北市大安區大安路一段181~210號,6.07,住,,,1070526,土地1建物1車位1,六層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971028,59.61,1,1,1,有,有,19500000,327126,塔式車位,13.21,0,,RPUOMLMLOHNFFFA58CA
大安區,房地(土地+建物)+車位,臺北市大安區富陽街151~180號,27.94,住,,,1070530,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940506,167.35000000000002,4,2,2,有,有,34220000,204482,坡道平面,39.62,0,,RPQOMLRLOHNFFFA68CA
中正區,房地(土地+建物),臺北市中正區南昌路二段31~60號,13.4,商,,,1070518,土地2建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710914,106.58,2,2,1,有,有,19020000,178457,,0.0,0,含增建或未登記建物。,RPTOMLMJPHNFFAA97DA
萬華區,房地(土地+建物),臺北市萬華區寶興街80巷17弄1~30號,23.5,住,,,1070505,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,79.07,3,2,2,有,無,10000000,126470,,0.0,0,含增建或未登記建物。,RPPNMLQLOHNFFBA08DA
大同區,房地(土地+建物)+車位,臺北市大同區民族西路76巷1~30號,12.33,商,,,1070519,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040216,84.2,2,1,1,有,有,16500000,199376,升降機械,10.47,1800000,含增建或未登記建物。,RPUNMLLJPHNFFBA97DA
萬華區,房地(土地+建物),臺北市萬華區成都路121~150號,6.21,商,,,1070518,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,89.22,2,2,1,有,有,16000000,179332,,0.0,0,含增建或未登記建物。,RPQPMLMJPHNFFBA87DA
內湖區,房地(土地+建物),臺北市內湖區星雲街151~180號,12.61,其他,,,1070326,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880901,70.82000000000001,2,2,2,有,有,15600000,220277,,0.0,0,,RPSQMLLLOHNFFCA28DA
中山區,房地(土地+建物),臺北市中山區中山北路二段59巷31~60號,3.15,商,,,1061231,土地1建物2車位0,一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880928,30.46,0,0,0,無,有,8000000,262640,,0.0,0,,RPROMLQLOHNFFCA48DA
中山區,房地(土地+建物),臺北市中山區雙城街3巷1~30號,4.98,商,,,1070427,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841201,33.88,2,1,1,有,有,5800000,171192,,0.0,0,含增建或未登記建物。,RPOOMLTLOHNFFCA48DA
信義區,房地(土地+建物),臺北市信義區基隆路一段147巷1~30號,41.0,住,,,1070505,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640201,98.55,4,2,2,有,無,44000000,446474,,0.0,0,含增建或未登記建物。,RPTNMLLJPHNFFDA08DA
信義區,房地(土地+建物),臺北市信義區松山路482巷31~60號,12.89,住,,,1070224,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740723,112.61,3,2,2,有,無,20600000,182932,,0.0,0,含增建或未登記建物。,RPUNMLLJPHNFFDA18DA
士林區,房地(土地+建物),臺北市士林區中山北路七段191巷1~30號,25.46,住,,,1070527,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700219,133.03,2,2,2,有,無,25500000,191686,,0.0,0,含增建或未登記建物。權利人二人,RPWNMLMKPHNFFEA68DA
北投區,房地(土地+建物),臺北市北投區泉源路35巷1~30號,39.57,住,,,1070108,土地1建物2車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670706,205.49,6,4,4,有,有,14890000,72461,,0.0,0,,RPWNMLRKPHNFFEA56DA
大安區,房地(土地+建物),臺北市大安區和平東路二段31~60號,10.71,商,,,1070429,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,102.56,3,2,2,有,有,24300000,236934,,0.0,0,含增建或未登記建物。,RPXNMLQLOHNFFFA66DA
北投區,房地(土地+建物),臺北市北投區尊賢街211~240號,25.84,住,,,1070428,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740507,99.53,5,2,3,有,無,10000000,100472,,0.0,0,含增建或未登記建物。,RPUNMLTLOHNFFEA56DA
大安區,房地(土地+建物),臺北市大安區信義路三段151~180號,3.25,商,,,1070515,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970903,38.96,0,1,1,有,有,12880000,330595,,0.0,0,,RPSNMLLJPHNFFFA18DA
大安區,房地(土地+建物),臺北市大安區新生南路三段56巷1~30號,25.1,住,,,1070429,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730123,123.92,6,4,4,有,無,35580000,287121,,0.0,0,含增建或未登記建物。,RPPOMLMJPHNFFFA08DA
士林區,房地(土地+建物),臺北市士林區永公路5巷1~30號,684.94,住,,,1060915,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,365.14,5,2,2,有,無,138000000,377937,,0.0,0,,RPPOMLPLOHNFFEA38DA
北投區,車位,臺北市北投區文林北路94巷31~60號,1.34,住,,,1070614,土地0建物0車位1,地下三層,十三層,其他,停車空間,鋼筋混凝土造,0991115,40.42,0,0,0,有,有,2775000,,坡道平面,0.0,2775000,,RPSOMLPLOHNFFEA68DA
北投區,房地(土地+建物)+車位,臺北市北投區關渡路31~60號,32.27,住,,,1070527,土地1建物1車位1,十二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781208,214.98,4,2,2,有,有,23500000,109312,坡道平面,0.0,0,,RPTOMLPLOHNFFEA78DA
松山區,房地(土地+建物),臺北市松山區民生東路五段31~60號,29.38,其他,,,1070520,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700602,150.05,2,2,2,有,有,30300000,201919,,0.0,0,含增建或未登記建物。,RPSNMLLJPHNFFDA97DA
松山區,房地(土地+建物),臺北市松山區復興北路331~360號,19.23,商,,,1070312,土地1建物1車位0,三層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0720808,119.07,2,2,1,有,有,23400000,196523,,0.0,0,含增建或未登記建物。,RPVNMLLJPHNFFDA28DA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路235巷31~60號,49.98,住,,,1070515,土地1建物1車位2,十三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031204,301.79999999999995,3,2,2,有,有,63460000,232971,坡道平面,55.16,6000000,,RPSPMLSLOHNFFDA98DA
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路61~90號,149.14,其他,,,1070607,土地1建物1車位2,二層,七層,廠辦,見其他登記事項,鋼筋混凝土造,1010626,644.8599999999999,0,0,0,無,有,90000000,139565,坡道平面,0.0,3200000,,RPQNMLSKPHNFFCA48DA
內湖區,車位,臺北市內湖區安泰街61~90號,4.0,住,,,1070611,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0840330,16.67,0,0,0,有,有,900000,,坡道機械,16.67,900000,,RPQOMLNLPHNFFCA18DA
中山區,房地(土地+建物),臺北市中山區雙城街4巷1~30號,7.66,商,,,1070512,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831018,56.18,2,1,1,有,有,10500000,186899,,0.0,0,含增建或未登記建物。,RPOQMLTLOHNFFCA68DA
大同區,房地(土地+建物),臺北市大同區歸綏街97巷1~30號,21.3,住,,,1070503,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841030,96.93,3,2,1,有,無,12650000,130507,,0.0,0,含增建或未登記建物。一房為和室。,RPPNMLTLOHNFFBA38DA
文山區,房地(土地+建物)+車位,臺北市文山區政大一街241~270號,57.76,住,,,1070525,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031113,166.09,3,2,2,有,有,22880000,156992,坡道平面,33.09,2000000,,RPPNMLNLOHNFFAA67DA
文山區,房地(土地+建物),臺北市文山區景福街54巷5弄1~30號,27.46,住,,,1070523,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880119,123.64,3,2,2,有,有,21200000,171466,,0.0,0,含增建或未登記建物。,RPUNMLOLOHNFFAA28DA
文山區,房地(土地+建物),臺北市文山區恆光街30巷1~30號,40.92,住,,,1070529,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790326,119.81,3,2,2,有,無,14580000,121693,,0.0,0,含增建或未登記建物。,RPQNMLKMOHNFFAA57DA
中正區,房地(土地+建物),臺北市中正區詔安街61~90號,4.89,商,,,1070514,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0750626,26.84,1,1,1,有,有,3480000,129657,,0.0,0,含增建或未登記建物。,RPVNMLOJPHNFFAA28DA
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路1~30號,18.97,住,,,1070504,土地1建物1車位1,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940128,115.51,1,1,1,有,有,13000000,141716,坡道平面,37.89,2000000,含增建或未登記建物。,RPUNMLQJPHNFFAA38DA
大同區,房地(土地+建物),臺北市大同區萬全街1~30號,7.75,商,,,1070601,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,84.49000000000001,1,2,1,有,有,24530000,290330,,0.0,0,,RPPOMLMLOHNFFBA77DA
中正區,車位,臺北市中正區金山南路一段121~150號,0.05,住,,,1070611,土地0建物0車位1,一層,十一層,其他,見其他登記事項,鋼筋混凝土造,0990319,10.62,0,0,0,有,有,1200000,,其他,10.63,1200000,,RPRNMLOLOHNFFBA08DA
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段3巷31~60號,43.83,住,,,1070604,土地1建物1車位2,十二層，夾層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061228,337.75,3,2,2,有,有,101280000,346405,坡道平面,64.14,6500000,,RPUNMLQJPHNFFFA78CA
大安區,房地(土地+建物)+車位,臺北市大安區復興南路二段61~90號,19.84,商,,,1070511,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750801,344.40999999999997,5,2,4,有,有,67880000,197085,坡道機械,0.0,0,,RPTNMLQLOHNFFFA78CA
大安區,房地(土地+建物),臺北市大安區和平東路二段118巷6弄1~30號,31.44,住,,,1070519,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.04,4,2,2,有,有,35560000,259486,,0.0,0,,RPTOMLQLOHNFFFA88CA
