鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
桃園區,房地(土地+建物)+車位,桃園市桃園區泰昌三街31~60號,34.11,住,,,1060103,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061218,207.32,4,2,2,有,有,16800000,85638,坡道平面,28.66,1500000,,RPRTMLRLPHNFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔一街339巷1~30號,18.71,住,,,1070530,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881018,132.07999999999998,3,2,2,有,有,8500000,64360,坡道平面,0.0,0,,RPWNMLNJPHNFFAH88CA
桃園區,土地,汴洲段271~300地號,1210.0,工,,,1070517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000000,90909,,0.0,0,,RPROMLPJPHNFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路211~240號,26.1,住,,,1070614,土地2建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850613,246.6,4,2,2,有,有,11900000,54039,升降平面,63.4,2000000,,RPSOMLOJPHNFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德六街1~30號,45.7,商,,,1050227,土地1建物1車位4,二十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060920,604.46,4,2,4,有,有,73670000,132840,坡道平面,100.32,6700000,,RPVOMLOJPHNFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德六街1~30號,45.03,商,,,1060516,土地1建物1車位3,十五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060920,585.02,4,2,4,有,有,68930000,124819,坡道平面,75.24,5300000,,RPWOMLOJPHNFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德六街1~30號,36.31,商,,,1030517,土地1建物1車位3,十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060920,476.45,4,2,4,有,有,53910000,120909,坡道平面,75.24,5400000,,RPXOMLOJPHNFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔六街181~210號,25.48,商,,,1070420,土地1建物1車位2,十八層,十九層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060920,316.6,1,0,3,有,有,32880000,109811,坡道平面,49.96,3600000,,RPPPMLOJPHNFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區泰昌七街91~120號,6.58,商,,,1070524,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840930,89.50999999999999,2,1,1,有,有,4500000,50274,坡道平面,0.0,0,,RPOOMLNJPHNFFAH18CA
桃園區,車位,桃園市桃園區溫州一路271~300號,1.06,住,,,1070128,土地0建物0車位1,,,其他,,,,28.42,0,0,0,有,有,1700000,,坡道平面,28.42,1700000,,RPWNMLMJPHNFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍鳳三街65巷1~30號,19.48,住,,,1070501,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880402,137.72,3,2,2,有,有,6380000,46326,坡道平面,30.83,0,,RPOPMLNJPHNFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,41.3,住,,,1070521,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,316.24,3,2,3,有,有,30430000,102690,坡道平面,50.1,3100000,,RPPPMLNJPHNFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,40.01,住,,,1060715,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,290.95,3,2,3,有,有,28180000,99962,坡道平面,25.05,1600000,,RPQPMLNJPHNFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,41.3,住,,,1051029,土地1建物1車位2,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,316.01,3,2,3,有,有,29880000,100711,坡道平面,50.1,3100000,,RPRPMLNJPHNFFAH58CA
桃園區,土地,水汴頭段91~120地號,305.86,住,,,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49960000,163343,,0.0,0,,RPORMLTJPHNFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城二街43巷1~30號,14.37,住,,,1070424,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870921,115.32,3,2,2,有,有,5300000,45959,坡道平面,0.0,0,,RPQNMLTJPHNFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區大興西路二段241~270號,10.35,住,,,1070517,土地1建物1車位0,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841103,117.0,3,2,2,有,有,6500000,55556,,0.0,0,,RPPPMLKKPHNFFAH18CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正康三街211~240號,22.01,住,,,1070517,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820823,144.98,3,2,2,有,有,6250000,43109,坡道平面,0.0,0,,RPQPMLKKPHNFFAH28CA
